METEOROLOGICAL DATA					DATA TYPE
HUMIDITY SENSOR
Galltech (manufacturer)
FK80J (model)
A310340000 (S/N)
SET OF FIVE THERMOELEMENTS
Uteco (Manufac.)
CB 1XK 0.22/6000 PVC JJ2X0.22 (model)

Hellenic Institute of Metrology
Sensor located in the Time & Frequency Laboratory
							END OF HEADER
 08 10 18 05 38 44	22.95	24.18	PRE?
 08 10 18 05 39 44	22.97	24.18	PRE?
 08 10 18 05 40 44	22.99	24.18	PRE?
 08 10 18 05 41 44	22.99	24.21	PRE?
 08 10 18 05 42 44	22.98	24.18	PRE?
 08 10 18 05 43 44	22.95	24.20	PRE?
 08 10 18 05 44 44	22.99	24.22	PRE?
 08 10 18 05 45 44	23.01	24.21	PRE?
 08 10 18 05 46 44	22.97	24.16	PRE?
 08 10 18 05 47 44	22.97	24.20	PRE?
 08 10 18 05 48 44	22.97	24.21	PRE?
 08 10 18 05 49 44	22.97	24.20	PRE?
 08 10 18 05 50 44	22.98	24.20	PRE?
 08 10 18 05 51 44	22.95	24.20	PRE?
 08 10 18 05 52 44	22.98	24.19	PRE?
 08 10 18 05 53 44	23.02	24.21	PRE?
 08 10 18 05 54 44	22.98	24.21	PRE?
 08 10 18 05 55 44	22.99	24.21	PRE?
 08 10 18 05 56 44	22.97	24.18	PRE?
 08 10 18 05 57 44	22.98	24.18	PRE?
 08 10 18 05 58 44	22.97	24.19	PRE?
 08 10 18 05 59 44	23.02	24.20	PRE?
 08 10 18 06 00 44	22.99	24.18	PRE?
 08 10 18 06 01 44	23.00	24.22	PRE?
 08 10 18 06 02 44	23.00	24.21	PRE?
 08 10 18 06 03 44	22.99	24.20	PRE?
 08 10 18 06 04 44	22.97	24.22	PRE?
 08 10 18 06 05 44	22.96	24.21	PRE?
 08 10 18 06 06 44	22.96	24.17	PRE?
 08 10 18 06 07 44	22.96	24.18	PRE?
 08 10 18 06 08 44	23.01	24.18	PRE?
 08 10 18 06 09 44	22.95	24.21	PRE?
 08 10 18 06 10 44	22.99	24.21	PRE?
 08 10 18 06 11 44	22.99	24.16	PRE?
 08 10 18 06 12 44	22.99	24.18	PRE?
 08 10 18 06 13 44	22.98	24.17	PRE?
 08 10 18 06 14 44	22.97	24.18	PRE?
 08 10 18 06 15 44	22.98	24.18	PRE?
 08 10 18 06 16 44	23.01	24.19	PRE?
 08 10 18 06 17 44	22.99	24.17	PRE?
 08 10 18 06 18 44	22.97	24.19	PRE?
 08 10 18 06 19 44	22.99	24.20	PRE?
 08 10 18 06 20 44	23.00	24.18	PRE?
 08 10 18 06 21 44	23.00	24.19	PRE?
 08 10 18 06 22 44	23.00	24.20	PRE?
 08 10 18 06 23 44	22.96	24.16	PRE?
 08 10 18 06 24 44	22.96	24.19	PRE?
 08 10 18 06 25 44	23.01	24.22	PRE?
 08 10 18 06 26 43	23.01	24.23	PRE?
 08 10 18 06 27 44	22.97	24.18	PRE?
 08 10 18 06 28 44	22.98	24.17	PRE?
 08 10 18 06 28 44	22.98	24.17	PRE?
 08 10 18 06 30 43	22.97	24.16	PRE?
 08 10 18 06 31 44	22.99	24.17	PRE?
 08 10 18 06 32 44	22.96	24.15	PRE?
 08 10 18 06 33 44	23.00	24.21	PRE?
 08 10 18 06 34 44	22.97	24.18	PRE?
 08 10 18 06 35 44	22.97	24.19	PRE?
 08 10 18 06 36 44	22.98	24.14	PRE?
 08 10 18 06 37 44	22.98	24.18	PRE?
 08 10 18 06 38 44	22.99	24.14	PRE?
 08 10 18 06 39 44	22.99	24.17	PRE?
 08 10 18 06 40 44	22.99	24.18	PRE?
 08 10 18 06 41 44	22.99	24.18	PRE?
 08 10 18 06 42 44	22.99	24.22	PRE?
 08 10 18 06 43 44	22.99	24.20	PRE?
 08 10 18 06 44 44	22.99	24.20	PRE?
 08 10 18 06 45 44	22.97	24.22	PRE?
 08 10 18 06 46 44	22.98	24.19	PRE?
 08 10 18 06 47 44	22.99	24.21	PRE?
 08 10 18 06 48 44	22.96	24.17	PRE?
 08 10 18 06 49 44	23.01	24.20	PRE?
 08 10 18 06 50 44	22.96	24.17	PRE?
 08 10 18 06 51 44	23.00	24.20	PRE?
 08 10 18 06 52 44	22.97	24.19	PRE?
 08 10 18 06 53 44	23.00	24.21	PRE?
 08 10 18 06 54 44	22.99	24.17	PRE?
 08 10 18 06 55 44	23.01	24.17	PRE?
 08 10 18 06 56 44	23.00	24.16	PRE?
 08 10 18 06 57 44	22.97	24.17	PRE?
 08 10 18 06 58 44	22.97	24.15	PRE?
 08 10 18 06 59 44	22.97	24.18	PRE?
 08 10 18 07 00 44	23.00	24.24	PRE?
 08 10 18 07 01 44	22.96	24.17	PRE?
 08 10 18 07 02 44	22.98	24.19	PRE?
 08 10 18 07 03 44	22.99	24.16	PRE?
 08 10 18 07 04 44	22.98	24.20	PRE?
 08 10 18 07 05 44	22.99	24.18	PRE?
 08 10 18 07 06 44	22.96	24.19	PRE?
 08 10 18 07 07 44	22.97	24.20	PRE?
 08 10 18 07 08 44	22.99	24.16	PRE?
 08 10 18 07 09 44	22.98	24.18	PRE?
 08 10 18 07 10 44	22.98	24.20	PRE?
 08 10 18 07 11 44	22.99	24.17	PRE?
 08 10 18 07 12 44	22.98	24.19	PRE?
 08 10 18 07 13 44	22.97	24.18	PRE?
 08 10 18 07 14 44	22.97	24.18	PRE?
 08 10 18 07 15 44	22.98	24.17	PRE?
 08 10 18 07 16 44	22.97	24.19	PRE?
 08 10 18 07 17 44	22.98	24.17	PRE?
 08 10 18 07 18 44	22.94	24.17	PRE?
 08 10 18 07 19 44	22.97	24.19	PRE?
 08 10 18 07 20 44	22.98	24.18	PRE?
 08 10 18 07 21 44	22.98	24.21	PRE?
 08 10 18 07 22 44	23.00	24.22	PRE?
 08 10 18 07 23 44	22.97	24.17	PRE?
 08 10 18 07 24 44	22.95	24.17	PRE?
 08 10 18 07 25 44	22.96	24.17	PRE?
 08 10 18 07 26 44	22.99	24.20	PRE?
 08 10 18 07 27 44	22.98	24.19	PRE?
 08 10 18 07 28 44	22.99	24.19	PRE?
 08 10 18 07 29 44	22.96	24.17	PRE?
 08 10 18 07 30 44	22.97	24.19	PRE?
 08 10 18 07 31 44	22.96	24.21	PRE?
 08 10 18 07 32 44	22.99	24.18	PRE?
 08 10 18 07 33 44	22.98	24.21	PRE?
 08 10 18 07 34 44	22.98	24.17	PRE?
 08 10 18 07 35 44	22.96	24.17	PRE?
 08 10 18 07 36 44	22.97	24.19	PRE?
 08 10 18 07 37 44	22.99	24.17	PRE?
 08 10 18 07 38 44	22.96	24.15	PRE?
 08 10 18 07 39 44	22.97	24.17	PRE?
 08 10 18 07 40 44	22.96	24.19	PRE?
 08 10 18 07 41 44	22.96	24.18	PRE?
 08 10 18 07 42 44	22.96	24.21	PRE?
 08 10 18 07 43 44	22.97	24.20	PRE?
 08 10 18 07 44 44	22.95	24.14	PRE?
 08 10 18 07 45 44	22.97	24.19	PRE?
 08 10 18 07 46 44	22.96	24.15	PRE?
 08 10 18 07 47 44	22.95	24.19	PRE?
 08 10 18 07 48 44	22.97	24.18	PRE?
 08 10 18 07 49 44	22.97	24.18	PRE?
 08 10 18 07 50 44	23.00	24.19	PRE?
 08 10 18 07 51 44	23.01	24.18	PRE?
 08 10 18 07 52 44	23.00	24.22	PRE?
 08 10 18 07 53 44	22.99	24.19	PRE?
 08 10 18 07 54 44	22.97	24.19	PRE?
 08 10 18 07 55 44	22.99	24.17	PRE?
 08 10 18 07 56 44	22.97	24.16	PRE?
 08 10 18 07 57 44	22.97	24.18	PRE?
 08 10 18 07 58 44	23.00	24.21	PRE?
 08 10 18 07 59 44	22.97	24.19	PRE?
 08 10 18 08 00 44	22.98	24.20	PRE?
 08 10 18 08 01 44	22.97	24.18	PRE?
 08 10 18 08 02 44	23.00	24.17	PRE?
 08 10 18 08 03 44	22.98	24.14	PRE?
 08 10 18 08 04 44	23.00	24.17	PRE?
 08 10 18 08 05 44	22.99	24.18	PRE?
 08 10 18 08 06 44	22.99	24.17	PRE?
 08 10 18 08 07 44	22.98	24.16	PRE?
 08 10 18 08 08 44	22.98	24.19	PRE?
 08 10 18 08 09 44	22.97	24.17	PRE?
 08 10 18 08 10 44	22.98	24.20	PRE?
 08 10 18 08 11 44	22.99	24.17	PRE?
 08 10 18 08 12 44	22.98	24.20	PRE?
 08 10 18 08 13 44	22.97	24.18	PRE?
 08 10 18 08 14 44	22.95	24.19	PRE?
 08 10 18 08 15 44	22.96	24.16	PRE?
 08 10 18 08 16 44	22.95	24.19	PRE?
 08 10 18 08 17 43	22.96	24.20	PRE?
 08 10 18 08 18 44	22.97	24.20	PRE?
 08 10 18 08 19 44	22.99	24.19	PRE?
 08 10 18 08 21 43	22.99	24.16	PRE?
 08 10 18 08 21 44	22.98	24.16	PRE?
 08 10 18 08 22 44	22.96	24.17	PRE?
 08 10 18 08 23 44	22.96	24.14	PRE?
